episodio,retorno_medio,retorno_ic95_lo,retorno_ic95_hi,td_medio,td_ic95_lo,td_ic95_hi
322,111.4833,102.1894,120.7771,0.737392,0.707089,0.767695
323,117.3856,106.6810,128.0901,0.731530,0.700662,0.762398
324,111.6967,102.1584,121.2350,0.728989,0.700579,0.757400
325,114.9952,104.4211,125.5694,0.753940,0.727366,0.780514
326,106.7318,96.0981,117.3656,0.738127,0.711297,0.764958
327,117.3213,106.1162,128.5263,0.721725,0.687212,0.756238
328,111.8948,102.2024,121.5872,0.727092,0.699628,0.754555
329,109.2266,99.7006,118.7526,0.728245,0.697561,0.758928
330,101.5328,91.6403,111.4252,0.725951,0.702443,0.749460
331,113.5659,104.8436,122.2882,0.717748,0.693305,0.742191
332,108.1633,96.7907,119.5359,0.732383,0.707511,0.757255
333,113.2414,106.6472,119.8356,0.722103,0.687854,0.756352
334,113.5829,103.5888,123.5771,0.717061,0.685756,0.748367
335,113.1997,102.8870,123.5123,0.741591,0.714480,0.768701
336,109.3456,99.1405,119.5507,0.720613,0.691870,0.749355
337,116.6502,107.1990,126.1014,0.719140,0.686816,0.751464
338,107.2470,96.7665,117.7274,0.724145,0.696174,0.752115
339,104.9681,93.9131,116.0230,0.742198,0.712724,0.771672
340,109.7115,100.0852,119.3378,0.714799,0.685237,0.744361
341,104.0345,92.0467,116.0223,0.735409,0.710016,0.760803
342,111.7240,101.5232,121.9247,0.731371,0.705383,0.757360
343,113.2731,102.3832,124.1631,0.723886,0.699325,0.748446
344,119.8712,109.6272,130.1151,0.712125,0.686595,0.737656
345,114.2647,102.1541,126.3752,0.720945,0.691945,0.749946
346,116.6967,107.7503,125.6430,0.712426,0.681933,0.742919
347,119.8242,108.1144,131.5340,0.723335,0.694921,0.751749
348,115.8624,104.1310,127.5937,0.722492,0.700265,0.744719
349,118.3598,107.2907,129.4288,0.703575,0.673904,0.733247
350,110.0639,99.8319,120.2959,0.743031,0.715540,0.770523
351,114.8085,102.1667,127.4503,0.730494,0.700356,0.760633
352,116.0304,105.5783,126.4826,0.741629,0.706190,0.777067
353,118.9158,108.5048,129.3269,0.719079,0.696052,0.742107
354,116.7923,107.3998,126.1848,0.719527,0.691239,0.747816
355,109.2004,96.7993,121.6014,0.727957,0.699044,0.756870
356,112.3448,103.5712,121.1184,0.724533,0.698663,0.750403
357,113.2639,102.2874,124.2403,0.730649,0.694590,0.766708
358,112.3520,103.6516,121.0523,0.749337,0.719530,0.779143
359,106.1984,95.5631,116.8337,0.736007,0.709138,0.762875
360,120.7580,110.5710,130.9450,0.721481,0.694214,0.748748
361,118.6005,110.4725,126.7285,0.733856,0.710934,0.756777
362,114.2713,104.0811,124.4615,0.714551,0.692613,0.736489
363,115.3073,105.7594,124.8552,0.716870,0.692653,0.741086
364,114.0071,102.3900,125.6242,0.732159,0.702671,0.761647
365,118.5502,107.9510,129.1494,0.715990,0.691792,0.740187
366,114.0710,105.2240,122.9179,0.739945,0.706847,0.773043
367,110.9073,100.8535,120.9612,0.726030,0.701566,0.750494
368,117.8397,109.5081,126.1713,0.722473,0.695233,0.749713
369,118.6602,109.2591,128.0613,0.716629,0.690058,0.743201
370,113.6279,103.9210,123.3348,0.740746,0.716103,0.765389
371,116.5219,108.9381,124.1057,0.741365,0.717500,0.765229
372,119.9572,111.4782,128.4361,0.728949,0.701764,0.756134
373,121.5809,110.9267,132.2352,0.742849,0.713979,0.771718
374,110.1889,101.8228,118.5550,0.705522,0.683974,0.727070
375,126.0206,116.6629,135.3783,0.711828,0.686181,0.737476
376,119.7937,109.8697,129.7177,0.732893,0.704448,0.761338
377,115.3469,107.3580,123.3358,0.742236,0.712807,0.771665
378,114.4329,106.6979,122.1678,0.715762,0.689308,0.742216
379,116.7699,109.4142,124.1255,0.731806,0.707375,0.756237
380,111.1518,102.3498,119.9537,0.744468,0.719844,0.769093
381,115.2267,107.8684,122.5850,0.743144,0.713262,0.773026
382,116.4701,108.1340,124.8062,0.714960,0.693518,0.736403
383,114.0106,104.2597,123.7615,0.702792,0.674619,0.730965
384,114.3687,103.8572,124.8802,0.724827,0.703491,0.746163
385,115.1657,105.4242,124.9072,0.749110,0.723300,0.774920
386,112.7315,101.7264,123.7366,0.739940,0.711017,0.768863
387,116.1119,105.7812,126.4426,0.758630,0.724118,0.793141
388,119.6003,110.3001,128.9005,0.717372,0.690151,0.744593
389,114.5840,106.0989,123.0690,0.731081,0.706153,0.756009
390,122.5708,113.5825,131.5592,0.748948,0.721346,0.776550
391,114.0868,105.6562,122.5174,0.733367,0.706508,0.760225
392,122.8178,113.1643,132.4713,0.691737,0.667407,0.716067
393,114.3547,107.2983,121.4111,0.741024,0.716294,0.765753
394,118.3357,108.8496,127.8218,0.738343,0.709147,0.767538
395,119.7691,109.3426,130.1956,0.718723,0.691074,0.746373
396,117.1397,106.3097,127.9697,0.716514,0.688640,0.744387
397,117.8842,110.8089,124.9595,0.718712,0.692471,0.744953
398,116.2253,106.2903,126.1604,0.727737,0.706594,0.748880
399,115.0776,105.5654,124.5898,0.736604,0.708961,0.764246
400,117.3430,108.5975,126.0885,0.738801,0.712285,0.765317
401,120.9686,112.5971,129.3402,0.732808,0.704635,0.760981
402,108.6488,98.3715,118.9261,0.728180,0.699852,0.756508
403,120.2788,109.4635,131.0942,0.735338,0.707401,0.763276
404,113.9642,102.4493,125.4790,0.726901,0.699425,0.754378
405,111.9342,102.9647,120.9036,0.748380,0.721897,0.774864
406,120.8902,112.5565,129.2240,0.720803,0.694845,0.746762
407,118.0300,109.9687,126.0913,0.738419,0.712658,0.764180
408,114.7190,106.0290,123.4091,0.723893,0.697241,0.750544
409,123.2061,115.4952,130.9170,0.734473,0.706897,0.762048
