episodio,retorno,c_medio,coste_medio,epsilon,error_TD_medio
329,106.9577,0.3225,5.1014,0.0200,0.503174
330,78.0909,0.3529,5.0986,0.0200,0.593370
331,80.0152,0.3330,5.2822,0.0200,0.690990
332,76.8174,0.3391,5.2548,0.0200,0.741698
333,72.3750,0.3251,5.2411,0.0200,0.808705
334,143.9852,0.3297,5.1260,0.0200,0.666821
335,117.1980,0.3247,5.2027,0.0200,0.724221
336,133.9701,0.3295,5.1808,0.0200,0.703764
337,91.1662,0.3386,5.1342,0.0200,0.656447
338,117.2963,0.3067,5.1260,0.0200,0.631853
339,118.0311,0.3399,5.2000,0.0200,0.619852
340,94.5579,0.3340,5.2164,0.0200,0.537692
341,146.1019,0.3235,5.0411,0.0200,0.600698
342,121.3445,0.3240,5.0438,0.0200,0.725746
343,134.3559,0.3289,5.1068,0.0200,0.684009
344,110.5645,0.3396,5.1808,0.0200,0.670874
345,91.9413,0.3493,5.0685,0.0200,0.695680
346,87.6822,0.3306,5.1233,0.0200,0.707899
347,134.0299,0.3375,5.1808,0.0200,0.580003
348,116.2141,0.3361,5.0822,0.0200,0.602540
349,125.2735,0.3292,5.2027,0.0200,0.711925
350,113.4857,0.3469,5.1781,0.0200,0.634062
351,125.0434,0.3279,5.1205,0.0200,0.622238
352,131.0817,0.3266,5.1205,0.0200,0.565794
353,58.4286,0.3405,5.0877,0.0200,0.660834
354,117.1158,0.3252,5.1918,0.0200,0.601497
355,133.0645,0.3320,5.1014,0.0200,0.691158
356,136.6671,0.3370,5.2000,0.0200,0.729367
357,101.9966,0.3277,5.2110,0.0200,0.677145
358,101.3018,0.3338,5.1479,0.0200,0.595782
