estado,situacion_completa,fase,visitas,top1_accion,top1_prob,top1_coste,top2_accion,top2_prob,top2_coste,top3_accion,top3_prob,top3_coste
c=B dc=0 h=A dh=- L=A dL=- preo=B,contagio Bajo (estable); hospital Alto (baja); restriccion Alto (baja); cumplimiento Bajo,emergencia,194,"(2, 1, 0, 2)",0.9945,7.0,"(1, 2, 2, 2)",0.0034,9.0,"(2, 0, 1, 2)",0.0014,7.0
c=B dc=0 h=A dh=- L=A dL=- preo=M,contagio Bajo (estable); hospital Alto (baja); restriccion Alto (baja); cumplimiento Medio,emergencia,465,"(1, 1, 0, 2)",0.9860,6.0,"(2, 2, 2, 1)",0.0072,8.0,"(1, 1, 2, 1)",0.0017,6.0
c=B dc=0 h=A dh=- L=A dL=- preo=A,contagio Bajo (estable); hospital Alto (baja); restriccion Alto (baja); cumplimiento Alto,emergencia,7810,"(1, 1, 2, 2)",0.0979,8.0,"(0, 0, 0, 1)",0.0494,2.0,"(2, 1, 0, 0)",0.0394,3.0
c=B dc=0 h=A dh=- L=A dL=0 preo=B,contagio Bajo (estable); hospital Alto (baja); restriccion Alto (estable); cumplimiento Bajo,emergencia,253,"(1, 1, 0, 2)",0.9864,6.0,"(2, 2, 1, 1)",0.0048,7.0,"(1, 2, 2, 0)",0.0027,5.0
c=B dc=0 h=A dh=- L=A dL=0 preo=M,contagio Bajo (estable); hospital Alto (baja); restriccion Alto (estable); cumplimiento Medio,emergencia,530,"(2, 1, 1, 2)",0.9841,8.0,"(2, 0, 2, 0)",0.0093,4.0,"(1, 2, 2, 2)",0.0023,9.0
c=B dc=0 h=A dh=- L=A dL=0 preo=A,contagio Bajo (estable); hospital Alto (baja); restriccion Alto (estable); cumplimiento Alto,emergencia,1884,"(1, 2, 1, 0)",0.4018,4.0,"(1, 2, 0, 2)",0.0427,7.0,"(1, 2, 1, 2)",0.0379,8.0
c=B dc=0 h=A dh=- L=A dL=+ preo=B,contagio Bajo (estable); hospital Alto (baja); restriccion Alto (sube); cumplimiento Bajo,emergencia,1529,"(2, 0, 1, 2)",0.8396,7.0,"(2, 2, 2, 1)",0.0791,8.0,"(2, 0, 2, 1)",0.0409,6.0
c=B dc=0 h=A dh=- L=A dL=+ preo=M,contagio Bajo (estable); hospital Alto (baja); restriccion Alto (sube); cumplimiento Medio,emergencia,6138,"(2, 1, 1, 2)",0.3036,8.0,"(1, 1, 2, 0)",0.1084,4.0,"(1, 0, 2, 0)",0.0932,3.0
c=B dc=0 h=A dh=- L=A dL=+ preo=A,contagio Bajo (estable); hospital Alto (baja); restriccion Alto (sube); cumplimiento Alto,emergencia,34668,"(2, 0, 1, 0)",0.0319,3.0,"(1, 2, 2, 2)",0.0228,9.0,"(0, 1, 1, 1)",0.0211,4.0
c=B dc=0 h=A dh=0 L=B dL=- preo=B,contagio Bajo (estable); hospital Alto (estable); restriccion Bajo (baja); cumplimiento Bajo,emergencia,809,"(0, 2, 2, 1)",0.9715,6.0,"(0, 1, 0, 0)",0.0109,1.0,"(1, 2, 2, 2)",0.0037,9.0
c=B dc=0 h=A dh=0 L=B dL=- preo=M,contagio Bajo (estable); hospital Alto (estable); restriccion Bajo (baja); cumplimiento Medio,emergencia,236,"(2, 1, 2, 1)",0.9873,7.0,"(1, 2, 2, 1)",0.0043,7.0,"(0, 0, 1, 1)",0.0037,3.0
c=B dc=0 h=A dh=0 L=B dL=- preo=A,contagio Bajo (estable); hospital Alto (estable); restriccion Bajo (baja); cumplimiento Alto,emergencia,4660,"(2, 1, 2, 2)",0.0618,9.0,"(1, 2, 1, 2)",0.0463,8.0,"(0, 2, 1, 1)",0.0414,5.0
c=B dc=0 h=A dh=0 L=B dL=0 preo=B,contagio Bajo (estable); hospital Alto (estable); restriccion Bajo (estable); cumplimiento Bajo,emergencia,102,"(1, 0, 0, 2)",0.9929,5.0,"(1, 0, 1, 0)",0.0026,2.0,"(2, 1, 1, 2)",0.0025,8.0
c=B dc=0 h=A dh=0 L=B dL=0 preo=M,contagio Bajo (estable); hospital Alto (estable); restriccion Bajo (estable); cumplimiento Medio,emergencia,16,"(0, 0, 0, 2)",0.9975,4.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 1, 0)",0.0000,2.0
c=B dc=0 h=A dh=0 L=B dL=0 preo=A,contagio Bajo (estable); hospital Alto (estable); restriccion Bajo (estable); cumplimiento Alto,emergencia,146,"(2, 1, 0, 2)",0.5682,7.0,"(2, 1, 1, 1)",0.0444,6.0,"(0, 2, 2, 2)",0.0321,8.0
c=B dc=0 h=A dh=0 L=B dL=+ preo=B,contagio Bajo (estable); hospital Alto (estable); restriccion Bajo (sube); cumplimiento Bajo,emergencia,131,"(1, 1, 2, 1)",0.9939,6.0,"(1, 2, 0, 2)",0.0017,7.0,"(0, 0, 2, 2)",0.0014,6.0
c=B dc=0 h=A dh=0 L=B dL=+ preo=M,contagio Bajo (estable); hospital Alto (estable); restriccion Bajo (sube); cumplimiento Medio,emergencia,16,"(1, 1, 2, 2)",0.9987,8.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=B dc=0 h=A dh=0 L=B dL=+ preo=A,contagio Bajo (estable); hospital Alto (estable); restriccion Bajo (sube); cumplimiento Alto,emergencia,170,"(2, 1, 2, 1)",0.3175,7.0,"(1, 0, 0, 1)",0.2941,3.0,"(1, 0, 1, 0)",0.0249,2.0
c=B dc=0 h=A dh=0 L=M dL=- preo=B,contagio Bajo (estable); hospital Alto (estable); restriccion Medio (baja); cumplimiento Bajo,emergencia,587,"(0, 1, 0, 0)",0.9829,1.0,"(2, 0, 0, 0)",0.0031,2.0,"(1, 0, 0, 1)",0.0024,3.0
c=B dc=0 h=A dh=0 L=M dL=- preo=M,contagio Bajo (estable); hospital Alto (estable); restriccion Medio (baja); cumplimiento Medio,emergencia,1286,"(1, 2, 1, 2)",0.9478,8.0,"(0, 2, 2, 1)",0.0340,6.0,"(1, 1, 1, 1)",0.0027,5.0
c=B dc=0 h=A dh=0 L=M dL=- preo=A,contagio Bajo (estable); hospital Alto (estable); restriccion Medio (baja); cumplimiento Alto,emergencia,2242,"(2, 2, 1, 1)",0.1307,7.0,"(2, 2, 0, 0)",0.0682,4.0,"(2, 2, 1, 0)",0.0649,5.0
c=B dc=0 h=A dh=0 L=M dL=0 preo=B,contagio Bajo (estable); hospital Alto (estable); restriccion Medio (estable); cumplimiento Bajo,emergencia,131,"(0, 1, 2, 2)",0.9979,7.0,"(2, 0, 2, 2)",0.0018,8.0,"(2, 2, 2, 2)",0.0000,10.0
c=B dc=0 h=A dh=0 L=M dL=0 preo=M,contagio Bajo (estable); hospital Alto (estable); restriccion Medio (estable); cumplimiento Medio,emergencia,83,"(0, 2, 0, 0)",0.9731,2.0,"(1, 1, 0, 0)",0.0255,2.0,"(2, 2, 2, 2)",0.0000,10.0
c=B dc=0 h=A dh=0 L=M dL=0 preo=A,contagio Bajo (estable); hospital Alto (estable); restriccion Medio (estable); cumplimiento Alto,emergencia,375,"(2, 1, 0, 2)",0.2765,7.0,"(1, 0, 2, 1)",0.0607,5.0,"(1, 1, 0, 1)",0.0528,4.0
c=B dc=0 h=A dh=0 L=M dL=+ preo=B,contagio Bajo (estable); hospital Alto (estable); restriccion Medio (sube); cumplimiento Bajo,emergencia,484,"(2, 1, 1, 0)",0.9840,4.0,"(1, 2, 2, 0)",0.0057,5.0,"(2, 0, 1, 0)",0.0032,3.0
c=B dc=0 h=A dh=0 L=M dL=+ preo=M,contagio Bajo (estable); hospital Alto (estable); restriccion Medio (sube); cumplimiento Medio,emergencia,77,"(2, 1, 1, 2)",0.9997,8.0,"(2, 2, 2, 2)",0.0000,10.0,"(0, 2, 0, 2)",0.0000,6.0
