estado,situacion_completa,fase,visitas,top1_accion,top1_prob,top1_coste,top2_accion,top2_prob,top2_coste,top3_accion,top3_prob,top3_coste
c=A dc=- h=A dh=0 L=B dL=- preo=M,contagio Alto (baja); hospital Alto (estable); restriccion Bajo (baja); cumplimiento Medio,emergencia,31,"(0, 1, 2, 2)",0.0195,7.0,"(1, 1, 1, 1)",0.0135,5.0,"(0, 2, 1, 0)",0.0135,3.0
c=A dc=- h=A dh=0 L=B dL=- preo=A,contagio Alto (baja); hospital Alto (estable); restriccion Bajo (baja); cumplimiento Alto,emergencia,545,"(1, 2, 2, 2)",0.0751,9.0,"(1, 2, 1, 1)",0.0157,6.0,"(1, 0, 1, 1)",0.0131,4.0
c=A dc=- h=A dh=0 L=B dL=0 preo=B,contagio Alto (baja); hospital Alto (estable); restriccion Bajo (estable); cumplimiento Bajo,emergencia,16,"(2, 2, 2, 2)",0.0129,10.0,"(0, 2, 1, 0)",0.0129,3.0,"(0, 2, 1, 2)",0.0129,7.0
c=A dc=- h=A dh=0 L=B dL=0 preo=M,contagio Alto (baja); hospital Alto (estable); restriccion Bajo (estable); cumplimiento Medio,emergencia,6,"(2, 2, 2, 2)",0.0127,10.0,"(1, 0, 1, 1)",0.0127,4.0,"(0, 2, 1, 2)",0.0127,7.0
c=A dc=- h=A dh=0 L=B dL=0 preo=A,contagio Alto (baja); hospital Alto (estable); restriccion Bajo (estable); cumplimiento Alto,emergencia,208,"(2, 2, 2, 1)",0.0263,8.0,"(2, 1, 1, 1)",0.0146,6.0,"(1, 1, 2, 2)",0.0145,8.0
c=A dc=- h=A dh=0 L=B dL=+ preo=B,contagio Alto (baja); hospital Alto (estable); restriccion Bajo (sube); cumplimiento Bajo,emergencia,26,"(0, 1, 2, 1)",0.0280,5.0,"(2, 2, 2, 2)",0.0133,10.0,"(0, 2, 1, 1)",0.0133,5.0
c=A dc=- h=A dh=0 L=B dL=+ preo=M,contagio Alto (baja); hospital Alto (estable); restriccion Bajo (sube); cumplimiento Medio,emergencia,12,"(0, 2, 0, 2)",0.0216,6.0,"(1, 0, 1, 1)",0.0129,4.0,"(0, 2, 1, 2)",0.0129,7.0
c=A dc=- h=A dh=0 L=B dL=+ preo=A,contagio Alto (baja); hospital Alto (estable); restriccion Bajo (sube); cumplimiento Alto,emergencia,257,"(2, 0, 2, 2)",0.0540,8.0,"(2, 2, 2, 2)",0.0141,10.0,"(0, 1, 1, 1)",0.0140,4.0
c=A dc=- h=A dh=0 L=M dL=- preo=B,contagio Alto (baja); hospital Alto (estable); restriccion Medio (baja); cumplimiento Bajo,emergencia,100,"(0, 1, 0, 0)",0.0425,1.0,"(1, 2, 1, 2)",0.0152,8.0,"(1, 1, 2, 1)",0.0152,6.0
c=A dc=- h=A dh=0 L=M dL=- preo=M,contagio Alto (baja); hospital Alto (estable); restriccion Medio (baja); cumplimiento Medio,emergencia,53,"(2, 2, 1, 2)",0.0247,9.0,"(2, 2, 2, 2)",0.0137,10.0,"(1, 0, 2, 2)",0.0137,7.0
c=A dc=- h=A dh=0 L=M dL=- preo=A,contagio Alto (baja); hospital Alto (estable); restriccion Medio (baja); cumplimiento Alto,emergencia,617,"(2, 2, 0, 2)",0.0744,8.0,"(1, 2, 2, 2)",0.0220,9.0,"(1, 2, 2, 0)",0.0147,5.0
c=A dc=- h=A dh=0 L=M dL=0 preo=B,contagio Alto (baja); hospital Alto (estable); restriccion Medio (estable); cumplimiento Bajo,emergencia,28,"(2, 2, 2, 2)",0.0191,10.0,"(0, 2, 2, 1)",0.0133,6.0,"(1, 2, 0, 0)",0.0133,3.0
c=A dc=- h=A dh=0 L=M dL=0 preo=M,contagio Alto (baja); hospital Alto (estable); restriccion Medio (estable); cumplimiento Medio,emergencia,7,"(2, 2, 2, 2)",0.0126,10.0,"(1, 0, 1, 1)",0.0126,4.0,"(0, 2, 2, 0)",0.0126,4.0
c=A dc=- h=A dh=0 L=M dL=0 preo=A,contagio Alto (baja); hospital Alto (estable); restriccion Medio (estable); cumplimiento Alto,emergencia,323,"(1, 1, 2, 2)",0.0678,8.0,"(0, 1, 0, 2)",0.0158,5.0,"(2, 0, 0, 0)",0.0131,2.0
c=A dc=- h=A dh=0 L=M dL=+ preo=B,contagio Alto (baja); hospital Alto (estable); restriccion Medio (sube); cumplimiento Bajo,emergencia,55,"(0, 0, 0, 0)",0.0743,0.0,"(0, 1, 2, 0)",0.0139,3.0,"(1, 1, 0, 2)",0.0139,6.0
c=A dc=- h=A dh=0 L=M dL=+ preo=M,contagio Alto (baja); hospital Alto (estable); restriccion Medio (sube); cumplimiento Medio,emergencia,32,"(1, 0, 2, 2)",0.0189,7.0,"(2, 2, 2, 2)",0.0143,10.0,"(1, 2, 1, 2)",0.0143,8.0
c=A dc=- h=A dh=0 L=M dL=+ preo=A,contagio Alto (baja); hospital Alto (estable); restriccion Medio (sube); cumplimiento Alto,emergencia,693,"(2, 2, 1, 1)",0.0614,7.0,"(1, 0, 1, 1)",0.0258,4.0,"(2, 0, 2, 1)",0.0184,6.0
c=A dc=- h=A dh=0 L=A dL=- preo=B,contagio Alto (baja); hospital Alto (estable); restriccion Alto (baja); cumplimiento Bajo,emergencia,532,"(2, 1, 2, 1)",0.0390,7.0,"(2, 1, 1, 1)",0.0161,6.0,"(0, 2, 2, 2)",0.0141,8.0
c=A dc=- h=A dh=0 L=A dL=- preo=M,contagio Alto (baja); hospital Alto (estable); restriccion Alto (baja); cumplimiento Medio,emergencia,278,"(0, 2, 1, 2)",0.0316,7.0,"(0, 2, 0, 1)",0.0172,4.0,"(2, 2, 2, 2)",0.0130,10.0
c=A dc=- h=A dh=0 L=A dL=- preo=A,contagio Alto (baja); hospital Alto (estable); restriccion Alto (baja); cumplimiento Alto,emergencia,4021,"(2, 2, 0, 2)",0.0635,8.0,"(2, 2, 1, 1)",0.0468,7.0,"(2, 2, 2, 2)",0.0447,10.0
c=A dc=- h=A dh=0 L=A dL=0 preo=B,contagio Alto (baja); hospital Alto (estable); restriccion Alto (estable); cumplimiento Bajo,emergencia,537,"(1, 2, 2, 1)",0.0242,7.0,"(0, 1, 2, 0)",0.0242,3.0,"(1, 1, 1, 0)",0.0205,3.0
c=A dc=- h=A dh=0 L=A dL=0 preo=M,contagio Alto (baja); hospital Alto (estable); restriccion Alto (estable); cumplimiento Medio,emergencia,339,"(1, 2, 0, 2)",0.0269,7.0,"(0, 0, 0, 0)",0.0158,0.0,"(1, 0, 1, 2)",0.0127,6.0
c=A dc=- h=A dh=0 L=A dL=0 preo=A,contagio Alto (baja); hospital Alto (estable); restriccion Alto (estable); cumplimiento Alto,emergencia,5913,"(2, 2, 2, 2)",0.0635,10.0,"(1, 2, 2, 2)",0.0423,9.0,"(1, 2, 1, 1)",0.0393,6.0
c=A dc=- h=A dh=0 L=A dL=+ preo=B,contagio Alto (baja); hospital Alto (estable); restriccion Alto (sube); cumplimiento Bajo,emergencia,903,"(2, 2, 1, 1)",0.0607,7.0,"(2, 1, 0, 1)",0.0242,5.0,"(1, 0, 1, 1)",0.0193,4.0
c=A dc=- h=A dh=0 L=A dL=+ preo=M,contagio Alto (baja); hospital Alto (estable); restriccion Alto (sube); cumplimiento Medio,emergencia,297,"(2, 2, 2, 1)",0.0929,8.0,"(1, 1, 1, 1)",0.0146,5.0,"(1, 2, 0, 2)",0.0146,7.0
c=A dc=- h=A dh=0 L=A dL=+ preo=A,contagio Alto (baja); hospital Alto (estable); restriccion Alto (sube); cumplimiento Alto,emergencia,6187,"(2, 1, 1, 2)",0.0606,8.0,"(1, 2, 1, 2)",0.0419,8.0,"(2, 2, 2, 0)",0.0417,6.0
c=A dc=- h=A dh=+ L=B dL=- preo=B,contagio Alto (baja); hospital Alto (sube); restriccion Bajo (baja); cumplimiento Bajo,emergencia,891,"(2, 1, 2, 2)",0.1006,9.0,"(2, 0, 1, 0)",0.0369,3.0,"(1, 0, 0, 2)",0.0162,5.0
c=A dc=- h=A dh=+ L=B dL=- preo=M,contagio Alto (baja); hospital Alto (sube); restriccion Bajo (baja); cumplimiento Medio,emergencia,216,"(2, 2, 1, 2)",0.0276,9.0,"(1, 0, 0, 2)",0.0175,5.0,"(1, 0, 2, 2)",0.0144,7.0
c=A dc=- h=A dh=+ L=B dL=- preo=A,contagio Alto (baja); hospital Alto (sube); restriccion Bajo (baja); cumplimiento Alto,emergencia,1556,"(2, 2, 1, 2)",0.0697,9.0,"(1, 2, 2, 1)",0.0229,7.0,"(1, 0, 2, 1)",0.0229,5.0
c=A dc=- h=A dh=+ L=B dL=0 preo=B,contagio Alto (baja); hospital Alto (sube); restriccion Bajo (estable); cumplimiento Bajo,emergencia,239,"(2, 1, 2, 2)",0.0386,9.0,"(0, 2, 2, 1)",0.0151,6.0,"(1, 1, 1, 2)",0.0150,7.0
c=A dc=- h=A dh=+ L=B dL=0 preo=M,contagio Alto (baja); hospital Alto (sube); restriccion Bajo (estable); cumplimiento Medio,emergencia,62,"(0, 0, 2, 0)",0.0410,2.0,"(2, 2, 2, 2)",0.0173,10.0,"(0, 1, 1, 2)",0.0173,6.0
c=A dc=- h=A dh=+ L=B dL=0 preo=A,contagio Alto (baja); hospital Alto (sube); restriccion Bajo (estable); cumplimiento Alto,emergencia,471,"(2, 2, 2, 1)",0.0517,8.0,"(1, 1, 2, 2)",0.0141,8.0,"(0, 2, 0, 0)",0.0137,2.0
c=A dc=- h=A dh=+ L=B dL=+ preo=B,contagio Alto (baja); hospital Alto (sube); restriccion Bajo (sube); cumplimiento Bajo,emergencia,356,"(2, 2, 0, 2)",0.0444,8.0,"(1, 1, 1, 2)",0.0140,7.0,"(2, 2, 0, 0)",0.0140,4.0
c=A dc=- h=A dh=+ L=B dL=+ preo=M,contagio Alto (baja); hospital Alto (sube); restriccion Bajo (sube); cumplimiento Medio,emergencia,99,"(2, 2, 2, 1)",0.0312,8.0,"(2, 2, 1, 1)",0.0170,7.0,"(2, 1, 1, 1)",0.0165,6.0
c=A dc=- h=A dh=+ L=B dL=+ preo=A,contagio Alto (baja); hospital Alto (sube); restriccion Bajo (sube); cumplimiento Alto,emergencia,589,"(1, 1, 2, 2)",0.0526,8.0,"(0, 0, 2, 2)",0.0157,6.0,"(2, 2, 2, 1)",0.0153,8.0
c=A dc=- h=A dh=+ L=M dL=- preo=B,contagio Alto (baja); hospital Alto (sube); restriccion Medio (baja); cumplimiento Bajo,emergencia,1177,"(2, 2, 2, 1)",0.1685,8.0,"(1, 1, 2, 2)",0.0323,8.0,"(0, 0, 1, 0)",0.0311,1.0
c=A dc=- h=A dh=+ L=M dL=- preo=M,contagio Alto (baja); hospital Alto (sube); restriccion Medio (baja); cumplimiento Medio,emergencia,332,"(1, 2, 2, 2)",0.0607,9.0,"(2, 0, 1, 0)",0.0187,3.0,"(0, 2, 1, 1)",0.0136,5.0
c=A dc=- h=A dh=+ L=M dL=- preo=A,contagio Alto (baja); hospital Alto (sube); restriccion Medio (baja); cumplimiento Alto,emergencia,1572,"(2, 0, 2, 2)",0.0613,8.0,"(1, 2, 1, 0)",0.0213,4.0,"(2, 2, 1, 0)",0.0204,5.0
c=A dc=- h=A dh=+ L=M dL=0 preo=B,contagio Alto (baja); hospital Alto (sube); restriccion Medio (estable); cumplimiento Bajo,emergencia,292,"(2, 1, 0, 2)",0.0336,7.0,"(0, 0, 1, 2)",0.0138,5.0,"(2, 0, 2, 0)",0.0138,4.0
c=A dc=- h=A dh=+ L=M dL=0 preo=M,contagio Alto (baja); hospital Alto (sube); restriccion Medio (estable); cumplimiento Medio,emergencia,87,"(1, 1, 1, 2)",0.4696,7.0,"(0, 1, 0, 0)",0.0113,1.0,"(1, 0, 1, 1)",0.0113,4.0
c=A dc=- h=A dh=+ L=M dL=0 preo=A,contagio Alto (baja); hospital Alto (sube); restriccion Medio (estable); cumplimiento Alto,emergencia,689,"(2, 2, 2, 2)",0.0647,10.0,"(2, 0, 0, 0)",0.0178,2.0,"(0, 2, 0, 2)",0.0153,6.0
c=A dc=- h=A dh=+ L=M dL=+ preo=B,contagio Alto (baja); hospital Alto (sube); restriccion Medio (sube); cumplimiento Bajo,emergencia,879,"(1, 2, 2, 2)",0.0715,9.0,"(2, 0, 1, 0)",0.0282,3.0,"(2, 2, 2, 0)",0.0211,6.0
c=A dc=- h=A dh=+ L=M dL=+ preo=M,contagio Alto (baja); hospital Alto (sube); restriccion Medio (sube); cumplimiento Medio,emergencia,242,"(2, 2, 1, 2)",0.0527,9.0,"(2, 2, 1, 1)",0.0315,7.0,"(1, 0, 0, 1)",0.0138,3.0
c=A dc=- h=A dh=+ L=M dL=+ preo=A,contagio Alto (baja); hospital Alto (sube); restriccion Medio (sube); cumplimiento Alto,emergencia,1624,"(2, 2, 0, 2)",0.0584,8.0,"(1, 1, 0, 2)",0.0221,6.0,"(2, 0, 2, 0)",0.0201,4.0
c=A dc=- h=A dh=+ L=A dL=- preo=B,contagio Alto (baja); hospital Alto (sube); restriccion Alto (baja); cumplimiento Bajo,emergencia,3726,"(2, 2, 2, 2)",0.0990,10.0,"(0, 2, 0, 0)",0.0562,2.0,"(0, 0, 0, 2)",0.0398,4.0
c=A dc=- h=A dh=+ L=A dL=- preo=M,contagio Alto (baja); hospital Alto (sube); restriccion Alto (baja); cumplimiento Medio,emergencia,1309,"(2, 2, 1, 1)",0.0308,7.0,"(2, 1, 0, 2)",0.0204,7.0,"(0, 2, 2, 2)",0.0176,8.0
c=A dc=- h=A dh=+ L=A dL=- preo=A,contagio Alto (baja); hospital Alto (sube); restriccion Alto (baja); cumplimiento Alto,emergencia,11739,"(1, 2, 2, 1)",0.0309,7.0,"(2, 1, 1, 0)",0.0233,4.0,"(2, 0, 1, 2)",0.0225,7.0
c=A dc=- h=A dh=+ L=A dL=0 preo=B,contagio Alto (baja); hospital Alto (sube); restriccion Alto (estable); cumplimiento Bajo,emergencia,6594,"(2, 2, 2, 1)",0.0408,8.0,"(1, 1, 0, 0)",0.0277,2.0,"(0, 1, 1, 0)",0.0256,2.0
c=A dc=- h=A dh=+ L=A dL=0 preo=M,contagio Alto (baja); hospital Alto (sube); restriccion Alto (estable); cumplimiento Medio,emergencia,2632,"(2, 2, 0, 2)",0.0346,8.0,"(2, 1, 1, 1)",0.0254,6.0,"(2, 0, 1, 2)",0.0236,7.0
c=A dc=- h=A dh=+ L=A dL=0 preo=A,contagio Alto (baja); hospital Alto (sube); restriccion Alto (estable); cumplimiento Alto,emergencia,21358,"(2, 2, 0, 2)",0.0264,8.0,"(1, 2, 1, 2)",0.0206,8.0,"(0, 2, 1, 2)",0.0204,7.0
c=A dc=- h=A dh=+ L=A dL=+ preo=B,contagio Alto (baja); hospital Alto (sube); restriccion Alto (sube); cumplimiento Bajo,emergencia,13436,"(2, 2, 2, 1)",0.0312,8.0,"(0, 0, 0, 0)",0.0237,0.0,"(0, 0, 1, 1)",0.0235,3.0
c=A dc=- h=A dh=+ L=A dL=+ preo=M,contagio Alto (baja); hospital Alto (sube); restriccion Alto (sube); cumplimiento Medio,emergencia,3032,"(2, 2, 2, 1)",0.0404,8.0,"(2, 2, 0, 0)",0.0351,4.0,"(1, 2, 1, 1)",0.0312,6.0
c=A dc=- h=A dh=+ L=A dL=+ preo=A,contagio Alto (baja); hospital Alto (sube); restriccion Alto (sube); cumplimiento Alto,emergencia,31538,"(2, 2, 2, 2)",0.0238,10.0,"(1, 2, 1, 2)",0.0203,8.0,"(1, 2, 0, 2)",0.0166,7.0
c=A dc=0 h=B dh=- L=B dL=- preo=B,contagio Alto (estable); hospital Bajo (baja); restriccion Bajo (baja); cumplimiento Bajo,emergencia,215,"(0, 0, 0, 2)",0.9932,4.0,"(0, 2, 2, 2)",0.0030,8.0,"(1, 0, 2, 1)",0.0018,5.0
c=A dc=0 h=B dh=- L=B dL=- preo=M,contagio Alto (estable); hospital Bajo (baja); restriccion Bajo (baja); cumplimiento Medio,emergencia,176,"(2, 1, 2, 2)",0.9993,9.0,"(2, 1, 1, 0)",0.0002,4.0,"(1, 1, 2, 0)",0.0002,4.0
c=A dc=0 h=B dh=- L=B dL=- preo=A,contagio Alto (estable); hospital Bajo (baja); restriccion Bajo (baja); cumplimiento Alto,emergencia,7,"(1, 2, 1, 1)",0.4738,6.0,"(2, 2, 2, 2)",0.0066,10.0,"(1, 0, 0, 2)",0.0066,5.0
c=A dc=0 h=B dh=- L=B dL=0 preo=B,contagio Alto (estable); hospital Bajo (baja); restriccion Bajo (estable); cumplimiento Bajo,emergencia,62,"(2, 1, 0, 0)",0.9988,3.0,"(2, 2, 2, 2)",0.0000,10.0,"(0, 2, 0, 2)",0.0000,6.0
c=A dc=0 h=B dh=- L=B dL=0 preo=M,contagio Alto (estable); hospital Bajo (baja); restriccion Bajo (estable); cumplimiento Medio,emergencia,26,"(2, 2, 2, 2)",0.9988,10.0,"(1, 1, 2, 0)",0.0001,4.0,"(1, 0, 0, 2)",0.0000,5.0
c=A dc=0 h=B dh=- L=B dL=0 preo=A,contagio Alto (estable); hospital Bajo (baja); restriccion Bajo (estable); cumplimiento Alto,emergencia,1,"(0, 2, 0, 2)",0.1140,6.0,"(1, 1, 1, 0)",0.0111,3.0,"(0, 2, 1, 0)",0.0111,3.0
c=A dc=0 h=B dh=- L=B dL=+ preo=B,contagio Alto (estable); hospital Bajo (baja); restriccion Bajo (sube); cumplimiento Bajo,emergencia,379,"(2, 0, 0, 2)",0.8751,6.0,"(2, 1, 0, 0)",0.0653,3.0,"(0, 0, 1, 0)",0.0496,1.0
c=A dc=0 h=B dh=- L=B dL=+ preo=M,contagio Alto (estable); hospital Bajo (baja); restriccion Bajo (sube); cumplimiento Medio,emergencia,48,"(2, 2, 1, 2)",0.9992,9.0,"(1, 0, 1, 0)",0.0001,2.0,"(1, 2, 2, 0)",0.0000,5.0
c=A dc=0 h=B dh=- L=B dL=+ preo=A,contagio Alto (estable); hospital Bajo (baja); restriccion Bajo (sube); cumplimiento Alto,emergencia,2,"(2, 2, 2, 2)",0.0124,10.0,"(2, 2, 2, 1)",0.0124,8.0,"(0, 2, 1, 0)",0.0124,3.0
c=A dc=0 h=B dh=- L=M dL=- preo=B,contagio Alto (estable); hospital Bajo (baja); restriccion Medio (baja); cumplimiento Bajo,emergencia,129,"(1, 1, 2, 0)",0.9723,4.0,"(1, 1, 0, 1)",0.0178,4.0,"(2, 1, 2, 2)",0.0076,9.0
c=A dc=0 h=B dh=- L=M dL=- preo=M,contagio Alto (estable); hospital Bajo (baja); restriccion Medio (baja); cumplimiento Medio,emergencia,67,"(0, 1, 0, 1)",0.9754,3.0,"(2, 2, 2, 2)",0.0135,10.0,"(1, 1, 0, 2)",0.0001,6.0
c=A dc=0 h=B dh=- L=M dL=- preo=A,contagio Alto (estable); hospital Bajo (baja); restriccion Medio (baja); cumplimiento Alto,emergencia,3,"(2, 2, 2, 1)",0.1108,8.0,"(0, 2, 1, 0)",0.0112,3.0,"(0, 2, 1, 1)",0.0112,5.0
c=A dc=0 h=B dh=- L=M dL=0 preo=B,contagio Alto (estable); hospital Bajo (baja); restriccion Medio (estable); cumplimiento Bajo,emergencia,9,"(1, 1, 1, 0)",0.9999,3.0,"(2, 2, 2, 2)",0.0000,10.0,"(0, 2, 1, 0)",0.0000,3.0
c=A dc=0 h=B dh=- L=M dL=0 preo=M,contagio Alto (estable); hospital Bajo (baja); restriccion Medio (estable); cumplimiento Medio,emergencia,23,"(1, 2, 0, 1)",0.9539,5.0,"(2, 2, 2, 2)",0.0006,10.0,"(1, 0, 1, 0)",0.0006,2.0
c=A dc=0 h=B dh=- L=M dL=0 preo=A,contagio Alto (estable); hospital Bajo (baja); restriccion Medio (estable); cumplimiento Alto,emergencia,2,"(2, 2, 1, 2)",0.6425,9.0,"(2, 2, 2, 2)",0.0045,10.0,"(1, 0, 0, 2)",0.0045,5.0
c=A dc=0 h=B dh=- L=M dL=+ preo=B,contagio Alto (estable); hospital Bajo (baja); restriccion Medio (sube); cumplimiento Bajo,emergencia,880,"(0, 0, 1, 0)",0.9848,1.0,"(2, 2, 1, 2)",0.0028,9.0,"(0, 2, 0, 2)",0.0023,6.0
c=A dc=0 h=B dh=- L=M dL=+ preo=M,contagio Alto (estable); hospital Bajo (baja); restriccion Medio (sube); cumplimiento Medio,emergencia,149,"(2, 2, 1, 1)",0.9983,7.0,"(0, 1, 1, 1)",0.0007,4.0,"(0, 0, 0, 2)",0.0003,4.0
c=A dc=0 h=B dh=- L=M dL=+ preo=A,contagio Alto (estable); hospital Bajo (baja); restriccion Medio (sube); cumplimiento Alto,emergencia,12,"(1, 0, 0, 2)",0.4122,5.0,"(2, 2, 2, 2)",0.0074,10.0,"(1, 0, 1, 1)",0.0074,4.0
c=A dc=0 h=B dh=- L=A dL=- preo=B,contagio Alto (estable); hospital Bajo (baja); restriccion Alto (baja); cumplimiento Bajo,emergencia,21,"(2, 2, 2, 1)",1.0000,8.0,"(0, 2, 0, 2)",0.0000,6.0,"(0, 2, 1, 1)",0.0000,5.0
c=A dc=0 h=B dh=- L=A dL=- preo=M,contagio Alto (estable); hospital Bajo (baja); restriccion Alto (baja); cumplimiento Medio,emergencia,2,"(1, 2, 2, 2)",0.9838,9.0,"(2, 2, 2, 2)",0.0002,10.0,"(0, 2, 0, 2)",0.0002,6.0
c=A dc=0 h=B dh=- L=A dL=- preo=A,contagio Alto (estable); hospital Bajo (baja); restriccion Alto (baja); cumplimiento Alto,emergencia,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=A dc=0 h=B dh=- L=A dL=0 preo=B,contagio Alto (estable); hospital Bajo (baja); restriccion Alto (estable); cumplimiento Bajo,emergencia,8,"(0, 0, 1, 1)",0.9999,3.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=A dc=0 h=B dh=- L=A dL=0 preo=M,contagio Alto (estable); hospital Bajo (baja); restriccion Alto (estable); cumplimiento Medio,emergencia,3,"(1, 2, 2, 2)",0.9966,9.0,"(2, 2, 2, 2)",0.0000,10.0,"(0, 2, 0, 2)",0.0000,6.0
c=A dc=0 h=B dh=- L=A dL=0 preo=A,contagio Alto (estable); hospital Bajo (baja); restriccion Alto (estable); cumplimiento Alto,emergencia,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=A dc=0 h=B dh=- L=A dL=+ preo=B,contagio Alto (estable); hospital Bajo (baja); restriccion Alto (sube); cumplimiento Bajo,emergencia,1079,"(1, 1, 2, 1)",0.8083,6.0,"(1, 2, 2, 1)",0.0604,7.0,"(1, 1, 2, 0)",0.0600,4.0
c=A dc=0 h=B dh=- L=A dL=+ preo=M,contagio Alto (estable); hospital Bajo (baja); restriccion Alto (sube); cumplimiento Medio,emergencia,178,"(0, 1, 1, 0)",0.9444,2.0,"(0, 0, 1, 1)",0.0292,3.0,"(0, 1, 2, 1)",0.0098,5.0
c=A dc=0 h=B dh=- L=A dL=+ preo=A,contagio Alto (estable); hospital Bajo (baja); restriccion Alto (sube); cumplimiento Alto,emergencia,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=A dc=0 h=B dh=0 L=B dL=- preo=B,contagio Alto (estable); hospital Bajo (estable); restriccion Bajo (baja); cumplimiento Bajo,emergencia,1530,"(2, 1, 2, 0)",0.6478,5.0,"(2, 2, 2, 1)",0.0716,8.0,"(2, 1, 1, 2)",0.0638,8.0
c=A dc=0 h=B dh=0 L=B dL=- preo=M,contagio Alto (estable); hospital Bajo (estable); restriccion Bajo (baja); cumplimiento Medio,emergencia,209,"(2, 1, 0, 2)",0.8454,7.0,"(0, 0, 2, 2)",0.0383,6.0,"(2, 2, 2, 2)",0.0015,10.0
c=A dc=0 h=B dh=0 L=B dL=- preo=A,contagio Alto (estable); hospital Bajo (estable); restriccion Bajo (baja); cumplimiento Alto,emergencia,1693,"(2, 2, 2, 2)",0.0774,10.0,"(0, 0, 1, 2)",0.0520,5.0,"(2, 2, 1, 0)",0.0459,5.0
c=A dc=0 h=B dh=0 L=B dL=0 preo=B,contagio Alto (estable); hospital Bajo (estable); restriccion Bajo (estable); cumplimiento Bajo,emergencia,254,"(1, 0, 0, 0)",0.9935,1.0,"(1, 0, 0, 1)",0.0048,3.0,"(1, 1, 1, 0)",0.0005,3.0
c=A dc=0 h=B dh=0 L=B dL=0 preo=M,contagio Alto (estable); hospital Bajo (estable); restriccion Bajo (estable); cumplimiento Medio,emergencia,30,"(2, 1, 1, 2)",0.9858,8.0,"(2, 2, 2, 2)",0.0002,10.0,"(1, 0, 0, 1)",0.0002,3.0
c=A dc=0 h=B dh=0 L=B dL=0 preo=A,contagio Alto (estable); hospital Bajo (estable); restriccion Bajo (estable); cumplimiento Alto,emergencia,287,"(2, 2, 1, 2)",0.0345,9.0,"(1, 0, 2, 2)",0.0283,7.0,"(2, 2, 2, 2)",0.0140,10.0
c=A dc=0 h=B dh=0 L=B dL=+ preo=B,contagio Alto (estable); hospital Bajo (estable); restriccion Bajo (sube); cumplimiento Bajo,emergencia,479,"(2, 0, 1, 1)",0.8750,5.0,"(1, 1, 2, 2)",0.0271,8.0,"(1, 0, 1, 0)",0.0236,2.0
c=A dc=0 h=B dh=0 L=B dL=+ preo=M,contagio Alto (estable); hospital Bajo (estable); restriccion Bajo (sube); cumplimiento Medio,emergencia,32,"(1, 1, 2, 0)",0.3025,4.0,"(2, 2, 2, 2)",0.0088,10.0,"(1, 0, 0, 1)",0.0088,3.0
c=A dc=0 h=B dh=0 L=B dL=+ preo=A,contagio Alto (estable); hospital Bajo (estable); restriccion Bajo (sube); cumplimiento Alto,emergencia,357,"(2, 2, 0, 2)",0.0350,8.0,"(1, 2, 2, 2)",0.0188,9.0,"(2, 1, 1, 2)",0.0184,8.0
c=A dc=0 h=B dh=0 L=M dL=- preo=B,contagio Alto (estable); hospital Bajo (estable); restriccion Medio (baja); cumplimiento Bajo,emergencia,564,"(0, 0, 1, 1)",0.9985,3.0,"(0, 1, 2, 1)",0.0005,5.0,"(0, 1, 0, 1)",0.0002,3.0
c=A dc=0 h=B dh=0 L=M dL=- preo=M,contagio Alto (estable); hospital Bajo (estable); restriccion Medio (baja); cumplimiento Medio,emergencia,63,"(2, 2, 1, 1)",0.9584,7.0,"(1, 1, 0, 0)",0.0037,2.0,"(1, 2, 0, 1)",0.0006,5.0
c=A dc=0 h=B dh=0 L=M dL=- preo=A,contagio Alto (estable); hospital Bajo (estable); restriccion Medio (baja); cumplimiento Alto,emergencia,651,"(2, 2, 1, 1)",0.0488,7.0,"(0, 0, 0, 1)",0.0327,2.0,"(2, 0, 2, 2)",0.0317,8.0
c=A dc=0 h=B dh=0 L=M dL=0 preo=B,contagio Alto (estable); hospital Bajo (estable); restriccion Medio (estable); cumplimiento Bajo,emergencia,254,"(2, 1, 2, 2)",0.9910,9.0,"(0, 0, 0, 1)",0.0046,2.0,"(2, 1, 1, 2)",0.0020,8.0
c=A dc=0 h=B dh=0 L=M dL=0 preo=M,contagio Alto (estable); hospital Bajo (estable); restriccion Medio (estable); cumplimiento Medio,emergencia,24,"(0, 2, 1, 2)",0.9609,7.0,"(2, 2, 2, 2)",0.0005,10.0,"(2, 2, 2, 1)",0.0005,8.0
c=A dc=0 h=B dh=0 L=M dL=0 preo=A,contagio Alto (estable); hospital Bajo (estable); restriccion Medio (estable); cumplimiento Alto,emergencia,294,"(2, 2, 1, 2)",0.0495,9.0,"(0, 0, 2, 0)",0.0374,2.0,"(0, 0, 2, 1)",0.0292,4.0
