episodio,retorno_medio,retorno_ic95_lo,retorno_ic95_hi,td_medio,td_ic95_lo,td_ic95_hi
387,115.2703,107.7521,122.7885,0.746347,0.720141,0.772553
388,118.3395,110.7735,125.9054,0.723413,0.700941,0.745886
389,114.9990,108.4687,121.5294,0.739541,0.718487,0.760596
390,116.5497,108.8524,124.2470,0.758301,0.734398,0.782204
391,115.7319,108.7502,122.7137,0.731325,0.709584,0.753066
392,123.5673,115.3705,131.7642,0.710136,0.688525,0.731747
393,116.0330,110.1859,121.8801,0.736184,0.713002,0.759366
394,117.7363,110.5386,124.9341,0.733285,0.712160,0.754411
395,109.8802,101.2052,118.5553,0.728547,0.705155,0.751939
396,114.9336,107.1119,122.7553,0.734587,0.711059,0.758116
397,118.9817,112.7098,125.2537,0.731338,0.705927,0.756750
398,116.1271,107.4496,124.8045,0.737367,0.718651,0.756083
399,113.0507,105.7561,120.3453,0.738846,0.715107,0.762585
400,115.1329,107.8879,122.3778,0.737303,0.715423,0.759183
401,118.6296,111.5930,125.6662,0.742315,0.718967,0.765663
402,110.8449,103.4424,118.2474,0.729931,0.704665,0.755197
403,120.2298,112.4285,128.0310,0.729999,0.708719,0.751280
404,116.4443,108.0922,124.7964,0.726246,0.703766,0.748725
405,113.8092,106.9387,120.6797,0.740207,0.718173,0.762242
406,117.3086,110.1757,124.4415,0.732147,0.707062,0.757231
407,120.7967,113.6627,127.9306,0.736427,0.709424,0.763431
408,111.9544,105.7342,118.1747,0.731178,0.707591,0.754764
409,116.8505,110.2023,123.4988,0.738467,0.717241,0.759694
410,114.6942,107.8348,121.5535,0.732053,0.708554,0.755553
411,113.5700,106.3265,120.8135,0.729762,0.703748,0.755777
412,113.7706,106.4126,121.1287,0.732446,0.710477,0.754415
413,115.6986,108.1919,123.2053,0.748234,0.726999,0.769469
414,115.3966,107.8210,122.9723,0.738511,0.713228,0.763794
415,114.5006,107.6694,121.3318,0.725794,0.702932,0.748656
416,113.1240,106.6192,119.6289,0.732664,0.708455,0.756874
417,109.3105,102.9500,115.6710,0.728955,0.705891,0.752019
418,115.0019,108.3268,121.6769,0.731257,0.711502,0.751013
419,116.8138,108.4350,125.1925,0.731313,0.709566,0.753061
420,114.7940,106.9207,122.6674,0.732902,0.705931,0.759873
421,114.1859,106.5020,121.8697,0.740592,0.715519,0.765665
422,120.7794,113.0898,128.4690,0.735193,0.712172,0.758214
423,116.5878,108.7937,124.3820,0.723699,0.700830,0.746568
424,115.8926,109.3045,122.4806,0.749061,0.723466,0.774655
425,115.8976,109.5524,122.2427,0.733247,0.707350,0.759145
426,122.3875,114.6576,130.1174,0.722994,0.697561,0.748426
427,117.6228,111.8907,123.3549,0.728174,0.704604,0.751743
428,118.1308,110.6673,125.5944,0.730129,0.706890,0.753368
