alpha0,episodio,retorno_medio,td_medio
0.1,577,84.3973,0.710377
0.1,578,87.4056,0.731807
0.1,579,80.2592,0.701077
0.1,580,85.2400,0.698589
0.1,581,95.3888,0.713069
0.1,582,86.3955,0.721722
0.1,583,89.0244,0.738448
0.1,584,83.7311,0.726567
0.1,585,83.3843,0.740772
0.1,586,79.7807,0.722928
0.1,587,90.9804,0.712943
0.1,588,80.6417,0.725948
0.1,589,94.2145,0.726271
0.1,590,77.6169,0.720989
0.1,591,97.5475,0.694193
0.1,592,82.1389,0.725181
0.1,593,84.9115,0.712202
0.1,594,88.1945,0.747285
0.1,595,89.2941,0.730459
0.1,596,75.1745,0.733351
0.1,597,85.0208,0.740359
0.1,598,79.9738,0.737410
0.1,599,86.6071,0.712829
0.1,600,81.3019,0.715731
0.1,601,91.4256,0.728671
0.1,602,84.0343,0.735928
0.1,603,83.7690,0.744343
0.1,604,86.8513,0.705421
0.1,605,92.0889,0.723646
0.1,606,95.6337,0.719721
0.1,607,88.7599,0.733734
0.1,608,80.9200,0.743314
0.1,609,92.1592,0.730431
0.1,610,92.0173,0.735988
0.1,611,87.6544,0.715289
0.1,612,87.1879,0.716433
0.1,613,86.8266,0.709598
0.1,614,83.4355,0.730308
0.1,615,88.9436,0.719366
0.1,616,85.5452,0.709087
0.1,617,94.2369,0.709506
0.1,618,82.7140,0.735924
0.1,619,93.4833,0.757391
0.1,620,95.6892,0.731885
0.1,621,84.5379,0.738386
0.1,622,91.9730,0.714818
0.1,623,98.4334,0.716590
0.1,624,92.3068,0.731654
0.1,625,87.6358,0.719021
0.1,626,85.9666,0.728855
0.1,627,98.1282,0.719790
0.1,628,82.9266,0.724907
0.1,629,88.5680,0.730419
0.1,630,88.2078,0.707997
0.1,631,96.5432,0.709007
0.1,632,85.3961,0.716475
0.1,633,87.5615,0.708179
0.1,634,87.7878,0.732654
0.1,635,88.5011,0.715661
0.1,636,92.1584,0.721441
0.1,637,84.6031,0.709717
0.1,638,96.2257,0.722305
0.1,639,88.6770,0.753710
0.1,640,91.5958,0.713995
0.1,641,86.4137,0.735003
0.1,642,87.8886,0.713827
0.1,643,90.2004,0.688177
0.1,644,92.6804,0.730427
0.1,645,92.9107,0.701257
0.1,646,95.9090,0.723049
0.1,647,83.7961,0.724868
0.1,648,89.9771,0.729438
0.1,649,96.1321,0.720945
0.1,650,90.5785,0.709083
0.1,651,88.7544,0.695726
0.1,652,97.0561,0.711794
0.1,653,91.3559,0.696950
0.1,654,88.1086,0.703400
0.1,655,96.2383,0.729094
0.1,656,94.5152,0.739047
0.1,657,92.2718,0.717479
0.1,658,88.6687,0.738919
0.1,659,87.0146,0.719850
0.1,660,90.6703,0.702524
0.1,661,90.7837,0.719122
0.1,662,86.5808,0.716755
0.1,663,96.8626,0.719879
0.1,664,90.0204,0.707604
0.1,665,93.1341,0.728854
0.1,666,85.5938,0.717439
0.1,667,92.0600,0.748963
0.1,668,90.2651,0.720684
0.1,669,93.5607,0.723451
0.1,670,91.0404,0.735741
0.1,671,96.3625,0.717115
0.1,672,87.0169,0.721491
0.1,673,93.2210,0.714676
0.1,674,92.0324,0.740213
0.1,675,84.7443,0.732633
0.1,676,87.1290,0.719130
0.1,677,92.0566,0.713254
0.1,678,85.4482,0.718611
0.1,679,92.7723,0.729265
0.1,680,88.2893,0.704530
0.1,681,99.2191,0.720332
0.1,682,85.8570,0.697158
0.1,683,91.1116,0.702406
0.1,684,87.6607,0.707807
0.1,685,92.0578,0.714116
0.1,686,95.5007,0.703076
0.1,687,96.3487,0.722924
0.1,688,90.2663,0.726525
0.1,689,87.4825,0.717989
0.1,690,85.8340,0.716387
0.1,691,82.5329,0.716551
0.1,692,89.3786,0.746787
0.1,693,93.2714,0.732679
0.1,694,85.7173,0.740631
0.1,695,89.1768,0.731315
0.1,696,81.9090,0.714750
0.1,697,94.5440,0.692326
0.1,698,85.8802,0.723824
0.1,699,85.1980,0.712781
0.1,700,85.7634,0.758649
0.1,701,82.4597,0.741531
0.1,702,83.1004,0.729312
0.1,703,91.5242,0.708162
0.1,704,85.8191,0.723066
0.1,705,94.8496,0.727713
0.1,706,92.3476,0.729461
0.1,707,93.5645,0.725984
0.1,708,90.0084,0.732886
0.1,709,85.4615,0.704697
0.1,710,88.9807,0.723100
0.1,711,88.2670,0.715216
0.1,712,86.2274,0.728666
0.1,713,87.0843,0.720506
0.1,714,93.4874,0.718483
0.1,715,86.4004,0.717370
0.1,716,91.8215,0.721589
0.1,717,79.7929,0.733743
0.1,718,87.4971,0.722167
0.1,719,92.4657,0.724569
0.1,720,92.8922,0.738385
0.1,721,87.0166,0.712770
0.1,722,98.1349,0.725391
0.1,723,85.0565,0.713202
0.1,724,93.5239,0.709762
0.1,725,90.3454,0.708944
0.1,726,92.4019,0.715443
0.1,727,88.4820,0.708798
0.1,728,92.5891,0.726118
0.1,729,87.3137,0.713070
0.1,730,95.1618,0.733769
0.1,731,93.8915,0.729959
0.1,732,90.0449,0.720710
0.1,733,81.6531,0.733782
0.1,734,86.0358,0.709133
0.1,735,92.3956,0.712652
0.1,736,93.8462,0.703944
0.1,737,91.1663,0.708496
0.1,738,87.5742,0.718711
0.1,739,90.7922,0.729962
0.1,740,84.9750,0.723689
0.1,741,98.6359,0.714785
0.1,742,94.1585,0.722088
0.1,743,85.6137,0.723935
0.1,744,87.4823,0.710817
0.1,745,92.8806,0.720034
0.1,746,95.9273,0.713613
0.1,747,86.4696,0.701108
0.1,748,88.2713,0.724438
0.1,749,95.7926,0.693407
0.1,750,89.7502,0.726106
0.1,751,89.5175,0.725848
0.1,752,88.9346,0.720624
0.1,753,98.2502,0.705328
0.1,754,94.8253,0.725202
0.1,755,96.9590,0.731336
0.1,756,83.5156,0.737446
0.1,757,87.0908,0.725734
0.1,758,83.7943,0.717208
0.1,759,85.5334,0.699436
0.1,760,89.0064,0.720282
0.1,761,104.1337,0.723513
0.1,762,85.1916,0.723937
0.1,763,100.1814,0.705578
0.1,764,96.4005,0.709330
0.1,765,98.9557,0.698410
0.1,766,86.1745,0.703778
0.1,767,79.0814,0.719921
0.1,768,90.3492,0.717512
0.1,769,78.1292,0.724167
0.1,770,88.1732,0.701476
0.1,771,93.0758,0.716163
0.1,772,93.0436,0.713526
0.1,773,91.8620,0.725963
0.1,774,94.0674,0.711226
0.1,775,94.2485,0.702177
0.1,776,92.1607,0.695506
0.1,777,92.1426,0.717921
0.1,778,85.2679,0.709699
0.1,779,77.7633,0.706975
0.1,780,86.4975,0.726410
0.1,781,85.4224,0.714935
0.1,782,82.2841,0.714707
0.1,783,94.2678,0.702451
0.1,784,95.5149,0.715515
0.1,785,95.3874,0.710239
0.1,786,88.0973,0.717478
0.1,787,88.1847,0.731410
0.1,788,87.0939,0.721181
0.1,789,91.4524,0.699616
0.1,790,87.1752,0.719097
0.1,791,88.6093,0.712432
0.1,792,88.4909,0.714142
0.1,793,90.6332,0.723924
0.1,794,90.2840,0.733573
0.1,795,86.6642,0.721769
0.1,796,82.7127,0.731632
0.1,797,97.5320,0.704648
0.1,798,90.6876,0.703673
0.1,799,91.6733,0.708293
0.1,800,94.3238,0.715228
0.1,801,90.1175,0.708415
0.1,802,101.6562,0.710192
0.1,803,86.2111,0.734048
0.1,804,100.3369,0.702530
0.1,805,92.4494,0.705611
0.1,806,94.5962,0.723161
0.1,807,88.2910,0.727345
0.1,808,92.0197,0.716735
0.1,809,95.5073,0.718570
0.1,810,95.9110,0.724767
0.1,811,94.1833,0.706969
0.1,812,83.1135,0.709308
0.1,813,94.5192,0.707588
0.1,814,93.2172,0.719869
0.1,815,89.0641,0.714253
0.1,816,88.5059,0.715485
0.1,817,90.5764,0.705367
0.1,818,91.5568,0.722522
0.1,819,97.2006,0.739006
0.1,820,97.5847,0.710204
0.1,821,88.1056,0.728058
0.1,822,104.4049,0.713207
0.1,823,88.8335,0.729119
0.1,824,87.4453,0.729394
0.1,825,85.5421,0.723318
0.1,826,88.0732,0.712330
0.1,827,81.7806,0.701761
0.1,828,97.9702,0.708142
0.1,829,94.2821,0.712530
0.1,830,100.5837,0.731255
0.1,831,101.9564,0.709528
0.1,832,93.5107,0.709326
0.1,833,85.5399,0.692471
0.1,834,88.1254,0.721687
0.1,835,87.2384,0.737811
0.1,836,95.9188,0.703692
0.1,837,88.8498,0.711493
0.1,838,94.4330,0.700456
0.1,839,91.1501,0.713198
0.1,840,83.2091,0.721097
0.1,841,86.7189,0.720688
0.1,842,84.8647,0.717761
0.1,843,93.5108,0.709937
0.1,844,84.7376,0.722682
0.1,845,89.0007,0.712456
0.1,846,87.5552,0.720908
0.1,847,93.4416,0.692620
0.1,848,91.0904,0.705863
0.1,849,91.9407,0.718142
0.1,850,91.2738,0.706639
0.1,851,97.4458,0.699082
0.1,852,94.0612,0.685989
0.1,853,86.7234,0.688022
0.1,854,93.8875,0.719121
0.1,855,87.9296,0.720564
0.1,856,94.9499,0.702867
0.1,857,99.0068,0.723151
0.1,858,92.4599,0.713560
0.1,859,91.5379,0.710913
0.1,860,90.1980,0.720465
0.1,861,99.7474,0.712635
0.1,862,81.0742,0.730016
0.1,863,88.8648,0.715580
0.1,864,83.7577,0.706253
0.1,865,91.4387,0.744721
0.1,866,90.5056,0.733312
0.1,867,94.7109,0.716292
